RY.TO,TD.TO,CNR.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.219683955960139509766548826519,42836.800440052727935835719108581543,194992.848944441066123545169830322266,0,0,initial
33,34,33,0.219452913938587512721056782539,42867.481876152814948000013828277588,195337.947930593451019376516342163086,1,0,look right
35,32,33,0.219910762211206506355765100125,42805.742519104074744973331689834595,194650.512274577165953814983367919922,1,2,look letf
37,30,33,0.220350979092516774393573086854,42743.497061923546425532549619674683,193979.156516373914200812578201293945,2,3,acc letf
41,26,33,0.221177013466179239742359641241,42619.512247694328834768384695053101,192694.130279552715364843606948852539,4,4,acc letf
49,18,33,0.222596592574588303392602028907,42371.542619235806341748684644699097,190351.263373619818594306707382202148,8,5,acc letf
65,2,33,0.224398937343716908809909682532,41875.097262187096930574625730514526,186610.051535342470742762088775634766,16,6,acc letf
67,0,33,0.224518638702397577144864726506,41813.228289855076582171022891998291,186234.998267912451410666108131408691,2,7,dec letf
66,1,33,0.224461873260843519650720168102,41844.415826086958986707031726837158,186421.039877272327430546283721923828,1,7,acc right
66,0,34,0.224407229808548380756150208981,41702.384595520437869708985090255737,185833.516286879719700664281845092773,1,7,look right
68,0,32,0.224624617048982233580289857855,41924.578084321525238920003175735474,186642.847231562976958230137825012207,1,10,look letf
70,0,30,0.224820398165200191487045344729,42147.277673254262481350451707839966,187470.879053794924402609467506408691,2,11,acc letf
74,0,26,0.225148949991248348290184821963,42591.664650856393564026802778244019,189171.056105355819454416632652282715,4,12,acc letf
82,0,18,0.225568270789996000447175106274,43481.450806324137374758720397949219,192764.038373133400455117225646972656,8,13,acc letf
98,0,2,0.225567162265197213022460687171,45261.023117259486753027886152267456,200654.309176645678235217928886413574,16,13,acc letf
90,0,10,0.225697143460177995777371506847,44371.236961791844805702567100524902,196596.360421463235979899764060974121,8,15,dec letf
94,0,6,0.225662569796763357032887142850,44816.130039525698521174490451812744,198597.977856443292694166302680969238,4,15,dec letf
92,0,8,0.225687700878593022757456765248,44593.430450592917622998356819152832,197589.103336125583155080676078796387,2,15,dec letf
91,0,9,0.225694413052585612922129598701,44482.586756258227978833019733428955,197092.104118208808358758687973022461,1,15,dec letf
89,0,11,0.225695830441826617018818978977,44259.887167325483460444957017898560,196104.141935991705395281314849853516,1,15,acc right
90,1,9,0.225685988754605548756160260382,44513.268192358395026531070470809937,197235.408533752051880583167076110840,1,15,look letf
89,1,10,0.225686825332724716464127823201,44401.918397892026405315846204757690,196741.295520601765019819140434265137,1,15,Local Search 0 1
91,0,9,0.225694413052585612922129598701,44482.586756258227978833019733428955,197092.104118208808358758687973022461,1,15,Local Search 0 2
89,0,11,0.225695830441826617018818978977,44259.887167325483460444957017898560,196104.141935991705395281314849853516,1,15,Local Search 0 2
