RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
7,6,7,6,6,6,7,6,6,6,6,6,7,6,6,6,0.203240410639699248251943686228,28573.315760210793087026104331016541,140588.752356267505092546343803405762,0,0,initialize
8,5,7,6,6,6,7,6,6,6,6,6,7,6,6,6,0.203447925195932410868948636562,28542.128223978914320468902587890625,140292.058503379434114322066307067871,1,0,round1/player0 1
7,6,8,5,6,6,7,6,6,6,6,6,7,6,6,6,0.202890685450386160093572129881,28701.509006587610201677307486534119,141462.920995484193554148077964782715,1,0,round1/player2 3
7,6,7,6,7,5,7,6,6,6,6,6,7,6,6,6,0.199343025318156286118664866081,27786.283412384709663456305861473083,139389.293244833272183313965797424316,1,0,round1/player4 5
7,6,7,6,6,6,8,5,6,6,6,6,7,6,6,6,0.201960790952106061801885061868,28231.172703557323984568938612937927,139785.413646217086352407932281494141,1,0,round1/player6 7
7,6,7,6,6,6,7,6,7,5,6,6,7,6,6,6,0.199672521440950129223423914482,28272.238527009219978936016559600830,141593.036052135343197733163833618164,1,0,round1/player8 9
7,6,7,6,6,6,7,6,6,6,7,5,7,6,6,6,0.204254445821561131380050824191,28593.140627140979631803929805755615,139987.849528231337899342179298400879,1,0,round1/player10 11
7,6,7,6,6,6,7,6,6,6,6,6,8,5,6,6,0.201288840989663569969181367014,28401.695952569141809362918138504028,141099.207551339641213417053222656250,1,0,round1/player12 13
7,6,7,6,6,6,7,6,6,6,6,6,7,6,7,5,0.200437117216599403057841755071,27964.833552042124210856854915618896,139519.236458696133922785520553588867,1,0,round1/player14 15
7,7,6,6,6,6,7,6,6,6,6,6,7,6,6,6,0.203204076303719338714159903247,28715.723475625814899103716015815735,141314.701938881422393023967742919922,1,0,round2/player1 2
7,6,7,6,6,7,7,5,6,6,6,6,7,6,6,6,0.205178860314425670630100739800,28917.479891963088448392227292060852,140937.910697274521226063370704650879,1,0,round2/player5 7
7,6,7,6,6,6,7,6,6,7,5,6,7,6,6,6,0.206153719564526799468140438876,29109.743151515140198171138763427734,141204.064680500188842415809631347656,1,0,round2/player9 10
7,6,7,6,6,6,7,6,6,6,6,6,7,7,6,5,0.203006707942603059624531169902,28251.972303030259354272857308387756,139167.678690785221988335251808166504,1,0,round2/player13 15
7,7,7,6,6,5,7,6,6,6,6,6,7,6,6,6,0.201610150743109339810388291880,28387.356613965730502968654036521912,140803.211094945116201415657997131348,1,0,round3/player1 5
7,6,7,6,6,6,7,6,6,7,6,6,7,6,6,5,0.205546910083418243875286179900,28711.634737812888488406315445899963,139684.098029791290173307061195373535,1,0,round3/player9 15
7,6,7,6,6,7,7,6,6,5,6,6,7,6,6,6,0.201990785607644440791119677669,28542.470722002613911172375082969666,141305.805787818128010258078575134277,1,0,round4/player5 9
6,5,6,5,5,5,6,5,5,21,5,5,6,5,5,5,0.251271123831110998469995365667,35196.511114624445326626300811767578,140073.839675590337719768285751342773,1,17,EM step-1
4,3,4,3,3,3,4,3,3,51,3,3,4,3,3,3,0.331500017807456137663990602960,48442.380592885325313545763492584229,146130.853667169110849499702453613281,2,18,EM step-2
0,3,0,3,3,3,0,3,3,67,3,3,0,3,3,3,0.364459382511699847562169907178,56266.175760210768203251063823699951,154382.568977777700638398528099060059,4,19,EM step-4
0,1,0,1,1,1,0,1,1,89,1,1,0,1,1,1,0.394442481428582791824766218269,65600.306036890688119456171989440918,166311.462698695628205314278602600098,2,20,EM step-2
0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.404956151255267626787315293768,70268.081739130473579280078411102295,173520.223168153286678716540336608887,1,21,EM step-1
