ENB.TO,CSU.TO,IFC.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,1.098580264728177491306837509910,39928.140389986772788688540458679199,36345.219072241590765770524740219116,0,0,initial
24,26,25,25,1.106531121898656211399725179945,40435.687444005197903607040643692017,36542.747550220803532283753156661987,1,1,look right
26,24,25,25,1.085188667086095293257130833808,39399.939299077661416959017515182495,36306.994805679998535197228193283081,1,1,look letf
22,28,25,25,1.107660043930491999830678651051,41471.338848484803747851401567459106,37440.493656632446800358593463897705,2,3,acc right
18,32,25,25,1.061769418992936531154214208073,43522.181101449212292209267616271973,40990.237920705025317147374153137207,4,3,acc right
20,30,25,25,1.091294564654773369127838122949,42486.432956521683081518858671188354,38932.140168738122156355530023574829,2,3,dec right
21,29,25,25,1.101394270396264696287857987045,41978.885902503265242557972669601440,38114.312949349106929730623960494995,1,3,dec right
23,27,25,25,1.109466728166194293692115024896,40943.234498023673950228840112686157,36903.526224438988720066845417022705,1,7,acc letf
22,27,26,25,1.109582261508182510212350280199,41057.581725955169531516730785369873,37002.738012545625679194927215576172,1,8,look right
24,27,24,25,1.106198277010541852760638903419,40829.447478260808566119521856307983,36909.700843686732696369290351867676,1,8,look letf
20,27,28,25,1.100597941228386389411753043532,41285.812714097439311444759368896484,37512.166039505769731476902961730957,2,8,acc right
21,27,27,25,1.106585028195627984359816764481,41172.025694334595755208283662796021,37206.382379371920251287519931793213,1,8,dec right
21,27,26,26,1.091568142817493036744735945831,41164.935306982828478794544935226440,37711.741202642886491958051919937134,1,8,look right
23,27,26,24,1.121439616910836933882933408313,40950.324885375463054515421390533447,36515.853611609411018434911966323853,1,13,look letf
25,27,26,22,1.124045604367582384952584106941,40735.407359683733375277370214462280,36239.995246992264583241194486618042,2,14,acc letf
29,27,26,18,1.047918986828337395422749978025,40305.879412384681927505880594253540,38462.781874365733528975397348403931,4,14,acc letf
27,27,26,20,1.097969125612647145473488308198,40520.700197628437308594584465026855,36905.136266940666246227920055389404,2,14,dec letf
26,27,26,21,1.114425851916202470093253396044,40628.053778656132635660469532012939,36456.488970350175804924219846725464,1,14,dec letf
24,27,26,23,1.126391915455632330989033107471,40842.760940711406874470412731170654,36259.813640610394941177219152450562,1,18,acc right
24,26,27,23,1.128192725412580088573122338858,40449.657855072415259201079607009888,35853.499977390805725008249282836914,1,19,look right
24,28,25,23,1.123255332930394700952092534862,41256.518063241077470593154430389404,36729.421044108799833338707685470581,1,19,look letf
24,24,29,23,1.127671021893204450492476098589,39642.140698287184932269155979156494,35153.994319844707206357270479202271,2,19,acc right
24,25,28,23,1.128659451152428383480241791403,40055.897820816811872646212577819824,35489.799673335794068407267332077026,1,22,dec right
24,24,28,24,1.120775085475991472705459273129,39635.260674571771232876926660537720,35364.152173081842192914336919784546,1,22,look right
24,26,28,22,1.122584815243106159954322720296,40456.091293807585316244512796401978,36038.338256915085366927087306976318,1,22,look letf
24,25,27,24,1.122519746845932031575898690789,40049.674745718017220497131347656250,35678.369897946133278310298919677734,1,22,look right
24,25,29,22,1.123452824713309095017166328034,40062.988208168630080763250589370728,35660.587900869089935440570116043091,1,22,look letf
25,24,28,23,1.127331158211527517565286871104,39527.696729907693224959075450897217,35063.074804582742217462509870529175,1,22,Local Search 0 1
23,26,28,23,1.124751240076885760998948171618,40563.444874835273367352783679962158,36064.369995326640491839498281478882,1,22,Local Search 0 1
25,25,27,23,1.128562915208170647218821613933,39942.110801053982868324965238571167,35392.010726922038884367793798446655,1,22,Local Search 0 2
23,25,29,23,1.125316851937426809726616738772,40170.341789196238096337765455245972,35696.916579571414331439882516860962,1,22,Local Search 0 2
25,25,28,22,1.126921471164005872367397387279,39948.544239789145649410784244537354,35449.270656389206124003976583480835,1,22,Local Search 0 3
23,25,28,24,1.122778565696866515111196349608,40163.461765480853500775992870330811,35771.489581788460782263427972793579,1,22,Local Search 0 3
24,26,27,23,1.128192725412580088573122338858,40449.657855072415259201079607009888,35853.499977390805725008249282836914,1,22,Local Search 1 2
24,24,29,23,1.127671021893204450492476098589,39642.140698287184932269155979156494,35153.994319844707206357270479202271,1,22,Local Search 1 2
24,26,28,22,1.122584815243106159954322720296,40456.091293807585316244512796401978,36038.338256915085366927087306976318,1,22,Local Search 1 3
24,24,28,24,1.120775085475991472705459273129,39635.260674571771232876926660537720,35364.152173081842192914336919784546,1,22,Local Search 1 3
