RY.TO,TD.TO,CNR.TO,ENB.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,0.229799368098971223961513032918,37491.045997364934009965509176254272,163146.862880920059978961944580078125,0,0,initial
24,26,25,25,0.229550106512936669123092769951,37522.233533596830966416746377944946,163459.882914418092695996165275573730,1,0,look right
26,24,25,25,0.230041932552407263345983778891,37459.988076416302646975964307785034,162839.825160494656302034854888916016,1,2,look letf
28,22,25,25,0.230505745325515321031417670383,37398.248719367576995864510536193848,162244.323526750114979222416877746582,2,3,acc letf
32,18,25,25,0.231345763578701929530367920052,37273.757805006571288686245679855347,161117.096887431631330400705337524414,4,4,acc letf
40,10,25,25,0.232652843364896777522687898454,37025.788176548070623539388179779053,159146.080662664317060261964797973633,8,5,acc letf
48,2,25,25,0.233423203349103658421626050767,36777.818548089555406477302312850952,157558.537542153819231316447257995605,8,6,dec letf
50,0,25,25,0.233527034158067220426246990428,36715.949575757527782116085290908813,157223.551046795037109404802322387695,2,7,dec letf
49,1,25,25,0.233479628385805798584939907414,36747.137111989424738567322492599487,157389.050882280047517269849777221680,1,7,acc right
49,0,26,25,0.233493296217466589359545992011,36605.105881422881793696433305740356,156771.549652244866592809557914733887,1,7,look right
51,0,24,25,0.233553656840865625499148450217,36827.299370223969162907451391220093,157682.392424780817236751317977905273,1,10,look letf
53,0,22,25,0.233586264265057574895934067172,37049.492859024998324457556009292603,158611.607474418065976351499557495117,2,11,acc letf
57,0,18,25,0.233571920623401180217015848939,37494.385936758902971632778644561768,160526.084799434582237154245376586914,4,11,acc letf
55,0,20,25,0.233591996324000378271179556577,37272.192447957786498591303825378418,159561.085287613765103742480278015137,2,13,dec letf
56,0,19,25,0.233585100815035667798369445336,37383.542242424227879382669925689697,160042.494628227083012461662292480469,1,13,dec letf
54,0,21,25,0.233592423239996266337570318683,37160.842653491454257164150476455688,159084.109570248605450615286827087402,1,15,acc right
53,0,21,26,0.233821519040065234351644107846,36921.202872200243291445076465606689,157903.357329030986875295639038085938,1,16,look right
55,0,21,24,0.233351819340375965516898304486,37400.482434782577911391854286193848,160275.083950508182169869542121887207,1,16,look letf
51,0,21,28,0.234242565037150601847670827738,36442.526150197598326485604047775269,155576.020713476464152336120605468750,2,18,acc right
47,0,21,32,0.234916315665798819400933439283,35484.473125164658995345234870910645,151051.547971858468372374773025512695,4,19,acc right
39,0,21,40,0.235413128669536092507641455995,33568.560555994677997659891843795776,142594.258636768441647291183471679688,8,20,acc right
23,0,21,56,0.231289472838643733743069219599,29737.144777338551648426800966262817,128571.112261924281483516097068786621,16,20,acc right
31,0,21,48,0.234382945977916340440927456257,31653.057346508536284090951085090637,135048.466152016451815143227577209473,8,20,dec right
35,0,21,44,0.235121102252751262851049318670,32611.013631093512231018394231796265,138698.795295869349502027034759521484,4,20,dec right
37,0,21,42,0.235318653966322011150680282299,33089.787093544102390296757221221924,140616.931704359478317201137542724609,2,20,dec right
38,0,21,41,0.235378273723252984250819963563,33329.426874835298804100602865219116,141599.419299091794528067111968994141,1,20,dec right
40,0,21,39,0.235424242375045528197219368849,33808.200337285874411463737487792969,143605.433307192288339138031005859375,1,26,acc letf
42,0,21,37,0.235379078658324886186292701495,34287.383159420292940922081470489502,145668.779718488454818725585937500000,2,26,acc letf
41,0,21,38,0.235412571660349040358894967540,34047.743378129096527118235826492310,144630.098290811962215229868888854980,1,26,dec letf
40,1,20,39,0.235383331131586909235053894918,33950.231567852424632292240858078003,144233.796865051350323483347892761230,1,26,look letf
40,1,21,38,0.235385440021869923876707275667,34078.424814229249022901058197021484,144777.114553317253012210130691528320,1,26,look letf
40,0,20,40,0.235394014682507118907395238239,33679.910350461090274620801210403442,143078.873079621902434155344963073730,1,26,look right
40,0,22,38,0.235422644001038988692542375247,33936.393583662698802072554826736450,144150.932157201197696849703788757324,1,26,look letf
39,1,21,39,0.235398181735833988970085783876,33838.881773386026907246559858322144,143751.670143995987018570303916931152,1,26,Local Search 0 1
41,0,20,39,0.235405657917476168750070542046,33919.550131752279412467032670974731,144089.782853235927177593111991882324,1,26,Local Search 0 2
39,0,22,39,0.235434878713465800537107952550,33696.850542819447582587599754333496,143125.991896170744439586997032165527,1,35,Local Search 0 2
38,0,23,39,0.235437403851452398129140419769,33586.006848484852525871247053146362,142653.657826076407218351960182189941,1,36,Local Search 0 2
37,0,24,39,0.235431656603709932307211261104,33474.657054018411145079880952835083,142184.180058523692423477768898010254,1,36,Local Search 0 2
39,0,23,38,0.235424714780800542479610726332,33825.043789196322904899716377258301,143676.690107451868243515491485595703,1,36,Local Search 0 3
37,0,23,40,0.235427033892361387001912476080,33346.367067193663388025015592575073,141642.047286888118833303451538085938,1,36,Local Search 0 3
38,1,22,39,0.235405050324919012938451601258,33728.038079051322711165994405746460,143276.612088389898417517542839050293,1,36,Local Search 1 2
38,1,23,38,0.235390102587024252489555919965,33856.231325428176205605268478393555,143830.309572644211584702134132385254,1,36,Local Search 1 3
38,0,24,38,0.235418616327812912913941545412,33714.200094861633260734379291534424,143209.575439504260430112481117248535,1,36,Local Search 2 3
38,0,22,40,0.235424195435776639762082140805,33457.716861660039285197854042053223,142116.730184545769589021801948547363,1,36,Local Search 2 3
37,1,23,39,0.235403779204042207240377138078,33616.688284584975917823612689971924,142804.369574062176980078220367431641,1,36,Local Search 0 1
