UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.760605406861307509203129484376,65377.014041075242857914417982101440,85953.917039399122586473822593688965,0,0,initial
33,34,33,0.761951078944025805839146414655,65317.181325883393583353608846664429,85723.589257731990073807537555694580,1,1,look right
35,32,33,0.757423013189273408585222568945,65437.427130776224657893180847167969,86394.822960606266860850155353546143,1,1,look letf
31,36,33,0.758990430357656009618949610740,65194.597227423771983012557029724121,85896.468018315310473553836345672607,2,1,acc right
32,35,33,0.761417075458969194734493157739,65257.348610691653448157012462615967,85705.128915523251635022461414337158,1,1,dec right
32,34,34,0.759607795860212431371394359303,66109.974321957168285734951496124268,87031.721741469751577824354171752930,1,1,look right
34,34,32,0.761718269605782261066906357883,64523.233648444620484951883554458618,84707.478109771225717850029468536377,1,1,look letf
33,33,34,0.760064225067840104621552654862,66169.807037148872041143476963043213,87058.178578583712805993854999542236,1,1,look right
33,35,32,0.763041033688432568382609133550,64463.400933252814866136759519577026,84482.220597817446105182170867919922,1,8,look letf
33,37,30,0.762516686128402509936563546944,62755.259773482306627556681632995605,82300.179019183793570846319198608398,2,8,acc letf
33,36,31,0.763254541496257155053228871111,63609.040166112950828392058610916138,83339.222641788728651590645313262939,1,10,dec letf
