TRI.TO,CSU.TO,IFC.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest
25,25,25,25,0.890285,52110.6,58532.5,0,0,Initial
26,24,25,25,0.891217,52069.6,58425.3,0,0,Right
24,26,25,25,0.88887,52130.9,58648.5,0,0,Left
28,22,25,25,0.890679,52030.1,58416.3,0,2,acceleration
27,23,25,25,0.89129,52049.3,58397.7,0,1,deceleration
28,23,24,25,0.889289,52423.9,58950.4,0,0,Right
26,23,26,25,0.892792,51676.5,57881.9,0,0,Left
24,23,28,25,0.894253,50930.3,56952.9,0,-2,acceleration
20,23,32,25,0.890218,49438.5,55535.3,0,-4,acceleration
22,23,30,25,0.893462,50184.1,56168.1,0,-2,deceleration
23,23,29,25,0.894146,50557.5,56542.8,0,-1,deceleration
25,23,27,25,0.893786,51303.7,57400.4,0,1,lastCheck
25,23,28,24,0.871049,51310.1,58906.2,0,0,Right
23,23,28,26,0.915446,50550.4,55219.4,0,0,Left
21,23,28,28,0.948456,49790.7,52496.6,0,-2,acceleration
17,23,28,32,0.955593,48270.3,50513.4,0,-4,acceleration
9,23,28,40,0.7463,45230.6,60606.4,0,-8,acceleration
13,23,28,36,0.874596,46751,53454.4,0,-4,deceleration
15,23,28,34,0.92454,47510.7,51388.5,0,-2,deceleration
16,23,28,33,0.942794,47890.6,50796.4,0,-1,deceleration
18,23,28,31,0.962503,48650.1,50545.4,0,1,lastCheck
20,23,28,29,0.958574,49411,51546.4,0,2,acceleration
19,23,28,30,0.963426,49031.2,50892.5,0,1,deceleration
19,24,27,30,0.962312,49424.9,51360.6,0,0,Right
19,22,29,30,0.963996,48638.1,50454.6,0,0,Left
19,20,31,30,0.963445,47830.6,49645.4,0,-2,acceleration
19,21,30,30,0.964057,48223.7,50021.6,0,-1,deceleration
19,22,30,29,0.956489,48644.5,50857.4,0,0,Right
19,20,30,31,0.965807,47823.5,49516.6,0,0,Left
19,18,30,33,0.950799,47002.6,49434.9,0,-2,acceleration
19,19,30,32,0.961456,47423.3,49324.4,0,-1,deceleration
19,20,31,30,0.963445,47830.6,49645.4,0,0,Right
19,20,29,32,0.963164,47817,49645.8,0,0,Left
20,19,30,31,0.968434,47803.1,49361.3,0,1,rightLocalSearch
21,18,30,31,0.970028,47762.1,49237.9,0,1,rightLocalSearch
22,17,30,31,0.970613,47741.8,49187.3,0,1,rightLocalSearch
23,16,30,31,0.970166,47721.5,49189,0,1,rightLocalSearch
23,17,29,31,0.972527,48115.2,49474.5,0,1,rightLocalSearch
24,17,28,31,0.973573,48488,49804.2,0,1,rightLocalSearch
25,17,27,31,0.97378,48861.5,50177.1,0,1,rightLocalSearch
26,17,26,31,0.973184,49234.2,50590.9,0,1,rightLocalSearch
26,17,27,30,0.970382,49241.3,50744.2,0,1,rightLocalSearch
24,17,27,32,0.971115,48481.6,49923.6,0,1,leftLocalSearch
25,18,26,31,0.975013,49254.6,50516.8,0,1,rightLocalSearch
25,19,25,31,0.975638,49668.3,50908.6,0,1,rightLocalSearch
25,20,24,31,0.975655,50062.1,51311.2,0,1,rightLocalSearch
25,21,23,31,0.975113,50455.2,51742.9,0,1,rightLocalSearch
25,21,24,30,0.971702,50462.3,51931.8,0,1,rightLocalSearch
25,19,24,32,0.973942,49661.9,50990.6,0,1,leftLocalSearch
25,20,25,30,0.972403,50068.5,51489.5,0,1,rightLocalSearch
25,20,23,32,0.974203,50055,51380.4,0,1,leftLocalSearch
26,19,24,31,0.97464,50041.7,51343.8,0,1,rightLocalSearch
24,21,24,31,0.975717,50082.4,51328.8,0,1,leftLocalSearch
23,22,24,31,0.974793,50123.4,51419.5,0,1,leftLocalSearch
25,21,23,31,0.975113,50455.2,51742.9,0,1,rightLocalSearch
23,21,25,31,0.975553,49709,50954.7,0,1,leftLocalSearch
25,21,24,30,0.971702,50462.3,51931.8,0,1,rightLocalSearch
23,21,24,32,0.973952,49702.5,51031.8,0,1,leftLocalSearch
24,22,23,31,0.974773,50496.2,51803,0,1,rightLocalSearch
24,20,25,31,0.97608,49688.6,50906.3,0,1,leftLocalSearch
24,19,26,31,0.975867,49295.5,50514.6,0,1,leftLocalSearch
24,21,25,30,0.972421,50088.8,51509.4,0,1,rightLocalSearch
24,19,25,32,0.973966,49288.5,50605.9,0,1,leftLocalSearch
24,20,26,30,0.972947,49695.7,51077.5,0,1,rightLocalSearch
24,20,24,32,0.97443,49682.2,50985.9,0,1,leftLocalSearch
25,19,25,31,0.975638,49668.3,50908.6,0,1,rightLocalSearch
23,21,25,31,0.975553,49709,50954.7,0,1,leftLocalSearch
25,20,24,31,0.975655,50062.1,51311.2,0,1,rightLocalSearch
23,20,26,31,0.975717,49315.9,50543.2,0,1,leftLocalSearch
25,20,25,30,0.972403,50068.5,51489.5,0,1,rightLocalSearch
23,20,25,32,0.973865,49308.8,50632,0,1,leftLocalSearch
25,21,24,30,0.971702,50462.3,51931.8,0,1,LS-0-1
25,19,26,30,0.972552,49675.4,51077.4,0,1,LS-0-2
25,19,24,32,0.973942,49661.9,50990.6,0,1,LS-0-3
23,21,26,30,0.972382,49716.1,51128.1,0,1,LS-1-2
23,21,24,32,0.973952,49702.5,51031.8,0,1,LS-1-3
23,19,26,32,0.973186,48915.7,50263.4,0,1,LS-2-3
